Wolf IV;//name---------------------------------------Player
  begin_specialties;//
  health;//description
    0;//number
    4.000000;//parameter0
    0.000000;//parameter1
    50.000000;//parameter2
    50.000000;//parameter3
  fly;//description
    4;//number
    1.000000;//parameter0
    1.000000;//parameter1
    0.000000;//parameter2
    1.000000;//parameter3 
 class0;//description
    1;//number
    0.000000;//parameter0
    0.010000;//parameter1
    0.000000;//parameter2
    0.000000;//parameter3  
  end_specialties;
Alien Large Fighter (space);//name---------------------------------------
  3;//identifier
  1;//class
  alienfighter2.png;//texture
  2;//draw layer
  -2;//corpse item number in items.dat, -1=nothing, -2=whole corpse vanishes when dead
  0;//corpse item amount
  0;//attack type, 0=shooting attack, 1=close combat
  18;//particle to show on radar, -1=none
  6;//primary AI tactic from AI_tactic.dat
  0;//secondary AI tactic from AI_tactic.dat
  3;//footstep particle from particles.dat
  0;//die after how many seconds, 0=doesn't die
  -1;//eat item number from items.dat, -1=nothing
  0.740000;//creature size
  0.950000;//creature weight (affects pushing)
  1.100000;//maximum movement speed
  0.800000;//minimum movement speed
  0.000000;//leg animation speed
  0.250000;//turn speed
  0.050000;//inertia level (acceleration/deceleration)
  0;//hide when behind walls
  4;//weapon number
  0.000000;//weapon_x
  27.000000;//weapon_y
  2;//blood particle
  1;//bars visible when player hovers mouse on top
  1.000000;//death animation speed
  1;//creature can move from area to another
  1000.000000;//AI hear range
  500.000000;//AI see range
  3.000000;//AI see angle
  begin_footstep_sounds;//
  none.wav;//      
  end_footstep_sounds;
  begin_hit_sounds;//
  none.wav;//  
  end_hit_sounds;
  begin_die_sounds;//
  explosion1.wav;
  explosion2.wav;
  end_die_sounds;
  begin_eat_block;//
  end_eat_block;
  begin_death_block;//
  2;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;
    end_conditions;
    begin_effects;
    44;//effect number
     8.000000;//parameter1
      1.000000;//parameter2
      9.000000;//parameter3
      0.000000;//parameter4    
    end_effects;
  0;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;
    end_conditions;
    begin_effects;
    26;//effect number
      24.000000;//parameter1
      30.000000;//parameter2
      10.000000;//parameter3
      0.000000;//parameter4    
    end_effects;
  2;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;
    8;//condition
      5.000000;//condition parameter0
      0.000000;//condition parameter1 
    end_conditions;
    begin_effects;
    3;//effect number
      25.000000;//parameter1
      1.000000;//parameter2
      0.000000;//parameter3
      1.000000;//parameter4    
    end_effects;
  2;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;
    8;//condition
      4.000000;//condition parameter0
      0.000000;//condition parameter1      
    end_conditions;
    begin_effects;
    19;//effect number
      14.000000;//parameter1
      0.400000;//parameter2
      10.000000;//parameter3
      1.000000;//parameter4    
    end_effects;
  end_death_block;
  begin_hit_block;//
  end_hit_block;
  begin_timed_block;//
  8000;//interval in milliseconds
    begin_conditions;
    8;//condition
      15.000000;//condition parameter0
      0.000000;//condition parameter1      
    end_conditions;
    begin_effects;
    10;//effect number
      4.000000;//parameter1
      2.000000;//parameter2
      7.000000;//parameter3
      7.000000;//parameter4
    end_effects;
400;//interval in milliseconds -----realistic combat
    begin_conditions;
    8;//condition
      15.000000;//condition parameter0
      0.000000;//condition parameter1       
      end_conditions;
    begin_effects;
    46;//effect number
      0.000000;//parameter1
      19.000000;//parameter2
      200.000000;//parameter3
      -1.000000;//parameter4 
    end_effects;
	300;//interval in milliseconds -----realistic combat
    begin_conditions;
    15;//condition
      150.000000;//condition parameter0
      0.000000;//condition parameter1       
      end_conditions;
    begin_effects;
    46;//effect number
      0.000000;//parameter1
      19.000000;//parameter2
      650.000000;//parameter3
      -1.000000;//parameter4 
    end_effects;
  end_timed_block;
  begin_specialties;//
  health;//description
    0;//number
    4.000000;//parameter0
    0.000000;//parameter1
    65.000000;//parameter2
    65.000000;//parameter3
  fly;//description
    4;//number
    1.000000;//parameter0
    1.000000;//parameter1
    0.000000;//parameter2
    1.000000;//parameter3
  end_specialties;
Enemy Missile;//name---------------------------------------EXPERIMENT: TO BE REMOVED
  4;//identifier
  4;//class
 alienmissile.png;//texture
  2;//draw layer
  -2;//corpse item number in items.dat, -1=nothing, -2=whole corpse vanishes when dead
  0;//corpse item amount
  0;//attack type, 0=shooting attack, 1=close combat
  -1;//particle to show on radar, -1=none
  7;//primary AI tactic from AI_tactic.dat
  7;//secondary AI tactic from AI_tactic.dat
  3;//footstep particle from particles.dat
  20;//die after how many seconds, 0=doesn't die
  -1;//eat item number from items.dat, -1=nothing
  0.900000;//creature size
  1.200000;//creature weight (affects pushing)
  1.200000;//maximum movement speed
  1.160000;//minimum movement speed
  0.000000;//leg animation speed
  0.400000;//turn speed
  1.000000;//inertia level (acceleration/deceleration)
  0;//hide when behind walls
  7;//weapon number
  0.000000;//weapon_x
  0.000000;//weapon_y
  5;//blood particle
  0;//bars visible when player hovers mouse on top
  1.000000;//death animation speed
  1;//creature can move from area to another
  100000.000000;//AI hear range
  50000.000000;//AI see range
  6.000000;//AI see angle
  begin_footstep_sounds;//
  none.wav;
  end_footstep_sounds;
  begin_hit_sounds;//
  none.wav;//  
  end_hit_sounds;
  begin_die_sounds;//
  explosion1.wav;//sample name
  explosion2.wav;//sample name 
  end_die_sounds;
  begin_eat_block;//
  end_eat_block;
  begin_death_block;//
  2;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;
    end_conditions;
    begin_effects;
    26;//effect number
      24.000000;//parameter1
      30.000000;//parameter2
      10.000000;//parameter3
      0.000000;//parameter4    
    end_effects;
  end_death_block;
  begin_hit_block;//
  end_hit_block;
  begin_timed_block;//
  20;//interval in milliseconds
    begin_conditions;
    end_conditions;
    begin_effects;
    27;//effect number
      9.000000;//parameter1
      60.000000;//parameter2
      0.100000;//parameter3
      0.200000;//parameter4       
    end_effects;
  end_timed_block;
  begin_specialties;//
  health;//description
    0;//number
    4.000000;//parameter0
    0.000000;//parameter1
    50.000000;//parameter2
    50.000000;//parameter3
anti-resistance to ECM;//description
    1;//number
    15.000000;//parameter0
    10.000000;//parameter1
    0.000000;//parameter2
    0.000000;//parameter3
resistance to others;//description
    1;//number
    1.000000;//parameter0
    0.01000000;//parameter1
    0.000000;//parameter2
    0.000000;//parameter3 
 resistance to others;//description
    1;//number
    0.000000;//parameter0
    0.0100000;//parameter1
    0.000000;//parameter2
    0.000000;//parameter3 
  fly;//description
    4;//number
    1.000000;//parameter0
    1.000000;//parameter1
    0.000000;//parameter2
    1.000000;//parameter3
  end_specialties;
ECM;//name---------------------------------------
  5;//identifier
  4;//class
  invisible.png;//texture
  2;//draw layer
  -2;//corpse item number in items.dat, -1=nothing, -2=whole corpse vanishes when dead
  0;//corpse item amount
  0;//attack type, 0=shooting attack, 1=close combat
  -1;//particle to show on radar, -1=none
  7;//primary AI tactic from AI_tactic.dat
  7;//secondary AI tactic from AI_tactic.dat
  5;//footstep particle from particles.dat
  6;//die after how many seconds, 0=doesn't die
  -1;//eat item number from items.dat, -1=nothing
  1.000000;//creature size
  0.200000;//creature weight (affects pushing)
  1.900000;//maximum movement speed
  1.500000;//minimum movement speed
  0.000000;//leg animation speed
  2.000000;//turn speed
  1.000000;//inertia level (acceleration/deceleration)
  0;//hide when behind walls
  9;//weapon number
  0.000000;//weapon_x
  0.000000;//weapon_y
  5;//blood particle
  0;//bars visible when player hovers mouse on top
  1.000000;//death animation speed
  1;//creature can move from area to another
  100000.000000;//AI hear range
  50000.000000;//AI see range
  6.000000;//AI see angle
  begin_footstep_sounds;//
  end_footstep_sounds;
  begin_hit_sounds;//
  end_hit_sounds;
  begin_die_sounds;//
  explosion1.wav;//sample name
  end_die_sounds;
  begin_eat_block;//
  end_eat_block;
  begin_death_block;//
  end_death_block;
  begin_hit_block;//
  end_hit_block;
  begin_timed_block;//
  20;//interval in milliseconds
    begin_conditions;
    end_conditions;
    begin_effects;
    27;//effect number
      10.000000;//parameter1
      60.000000;//parameter2
      0.040000;//parameter3
      0.150000;//parameter4       
    end_effects;
300;//interval in milliseconds -----realistic combat
    begin_conditions;
    8;//condition
      5.000000;//condition parameter0
      0.000000;//condition parameter1       
      end_conditions;
    begin_effects;
    46;//effect number
      0.000000;//parameter1
      19.000000;//parameter2
      120.000000;//parameter3
      -1.000000;//parameter4
    end_effects;
  end_timed_block;
  begin_specialties;//
  ;//description
    0;//number
    4.000000;//parameter0
    0.000000;//parameter1
    500.000000;//parameter2
    500.000000;//parameter3
  fly;//description
    4;//number
    1.000000;//parameter0
    1.000000;//parameter1
    0.000000;//parameter2
    1.000000;//parameter3 
  end_specialties;
M Asteroid;//name---------------------------------------
  6;//identifier
 5;//class
  creature7.png;//texture
  1;//draw layer
  -1;//corpse item number in items.dat, -1=nothing, -2=whole corpse vanishes when dead
  0;//corpse item amount
  0;//attack type, 0=shooting attack, 1=close combat
  -1;//particle to show on radar, -1=none
  0;//primary AI tactic from AI_tactic.dat
  0;//secondary AI tactic from AI_tactic.dat
  1;//footstep particle from particles.dat
  0;//die after how many seconds, 0=doesn't die
  -1;//eat item number from items.dat, -1=nothing
  2.200000;//creature size
  1.950000;//creature weight (affects pushing)
  0.010000;//maximum movement speed
  0.000000;//minimum movement speed
  0.000000;//leg animation speed
  0.050000;//turn speed
  0.050000;//inertia level (acceleration/deceleration)
  0;//hide when behind walls
  0;//weapon number
  0.000000;//weapon_x
  27.000000;//weapon_y
  2;//blood particle
  0;//bars visible when player hovers mouse on top
  1.700000;//death animation speed
  1;//creature can move from area to another
  10.000000;//AI hear range
  10.000000;//AI see range
  1.000000;//AI see angle
  begin_footstep_sounds;//
  end_footstep_sounds;
  begin_hit_sounds;//
  none.wav;//    
  end_hit_sounds;
  begin_die_sounds;//
  explosion1.wav;
  explosion2.wav;
  end_die_sounds;
  begin_eat_block;//
  end_eat_block;
  begin_death_block;//
    0;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;   
    end_conditions;
    begin_effects;
    26;//effect number
    24.000000;//parameter1
    30.000000;//parameter2
    10.000000;//parameter3
    0.000000;//parameter4  
	36;//effect number           shake
    4.000000;//parameter1
    300.000000;//parameter2
    0.000000;//parameter3
    0.000000;//parameter4  
    end_effects;
 2;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;
    45;//condition
      -14.000000;//condition parameter0
     50.000000;//condition parameter1 
 8;//condition
    8.000000;//condition parameter0
     0.000000;//condition parameter1 
    end_conditions;
    begin_effects;
    3;//effect number
      136.000000;//parameter1
      1.000000;//parameter2
     30.000000;//parameter3
      0.000000;//parameter4    
    end_effects;
2;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;
    45;//condition
      -14.000000;//condition parameter0
     50.000000;//condition parameter1 
 8;//condition
     8.000000;//condition parameter0
     0.000000;//condition parameter1 
    end_conditions;
    begin_effects;
    3;//effect number
      136.000000;//parameter1
      1.000000;//parameter2
      30.000000;//parameter3
      0.000000;//parameter4    
    end_effects;
2;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;
    45;//condition
      -14.000000;//condition parameter0
     50.000000;//condition parameter1 
 8;//condition
      8.000000;//condition parameter0
     0.000000;//condition parameter1 
    end_conditions;
    begin_effects;
    3;//effect number
      136.000000;//parameter1
      1.000000;//parameter2
      30.000000;//parameter3
      0.000000;//parameter4    
    end_effects;
  end_death_block;
  begin_hit_block;//
  end_hit_block;
  begin_timed_block;//
  end_timed_block;
  begin_specialties;//
  health;//description
    0;//number
    4.000000;//parameter0
    0.000000;//parameter1
    350.000000;//parameter2
    350.000000;//parameter3
  fly;//description
    4;//number
    1.000000;//parameter0
    1.000000;//parameter1
    0.000000;//parameter2
    1.000000;//parameter3
anti-resistance to mining beam;//description
    1;//number
    14.000000;//parameter0
    20.000000;//parameter1
    0.000000;//parameter2
    0.000000;//parameter3
Not affected by ion wave;//description
    1;//number
    16.000000;//parameter0
    0.000000;//parameter1
    0.000000;//parameter2
    0.000000;//parameter3
  No AI;//description
    5;//number
    0.000000;//parameter0
    0.000000;//parameter1
    0.000000;//parameter2
    0.000000;//parameter3
  end_specialties;
MS Asteroid;//name---------------------------------------
  7;//identifier
  5;//class
  creature7.png;//texture
  1;//draw layer
  -1;//corpse item number in items.dat, -1=nothing, -2=whole corpse vanishes when dead
  0;//corpse item amount
  0;//attack type, 0=shooting attack, 1=close combat
  -1;//particle to show on radar, -1=none
  0;//primary AI tactic from AI_tactic.dat
  0;//secondary AI tactic from AI_tactic.dat
  1;//footstep particle from particles.dat
  0;//die after how many seconds, 0=doesn't die
  -1;//eat item number from items.dat, -1=nothing
  1.300000;//creature size
  1.000000;//creature weight (affects pushing)
  0.010000;//maximum movement speed
  0.000000;//minimum movement speed
  0.000000;//leg animation speed
  0.050000;//turn speed
  0.050000;//inertia level (acceleration/deceleration)
  0;//hide when behind walls
  0;//weapon number
  0.000000;//weapon_x
  27.000000;//weapon_y
  2;//blood particle
  0;//bars visible when player hovers mouse on top
  1.7000000;//death animation speed
  1;//creature can move from area to another
  10.000000;//AI hear range
  10.000000;//AI see range
  1.000000;//AI see angle
  begin_footstep_sounds;//
  end_footstep_sounds;
  begin_hit_sounds;//
  none.wav;//    
  end_hit_sounds;
  begin_die_sounds;//
  explosion1.wav;
  explosion2.wav;
  end_die_sounds;
  begin_eat_block;//
  end_eat_block;
  begin_death_block;//
      0;//death type, 0=any death, 1=timed death, 2=killed by player   ---- shake and flames
    begin_conditions;   
    end_conditions;
    begin_effects;
    26;//effect number
    24.000000;//parameter1
    30.000000;//parameter2
    10.000000;//parameter3
    0.000000;//parameter4  
	36;//effect number           shake
    3.5000000;//parameter1
    300.000000;//parameter2
    0.000000;//parameter3
    0.000000;//parameter4  
    end_effects;
   2;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;
    45;//condition
      -14.000000;//condition parameter0
     50.000000;//condition parameter1 
 8;//condition
    8.000000;//condition parameter0
     0.000000;//condition parameter1 
    end_conditions;
    begin_effects;
    3;//effect number
      136.000000;//parameter1
      1.000000;//parameter2
      30.000000;//parameter3
      0.000000;//parameter4    
    end_effects;
2;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;
    45;//condition
      -14.000000;//condition parameter0
     50.000000;//condition parameter1 
 8;//condition
     8.000000;//condition parameter0
     0.000000;//condition parameter1 
    end_conditions;
    begin_effects;
    3;//effect number
      136.000000;//parameter1
      1.000000;//parameter2
      30.000000;//parameter3
      0.000000;//parameter4    
    end_effects;
  end_death_block;
  begin_hit_block;//
  end_hit_block;
  begin_timed_block;//
  end_timed_block;
  begin_specialties;//
  health;//description
    0;//number
    4.000000;//parameter0
    0.000000;//parameter1
    150.000000;//parameter2
    150.000000;//parameter3
  fly;//description
    4;//number
    1.000000;//parameter0
    1.000000;//parameter1
    0.000000;//parameter2
    1.000000;//parameter3
anti-resistance to mining beam;//description
    1;//number
    14.000000;//parameter0
   20.000000;//parameter1
    0.000000;//parameter2
    0.000000;//parameter3
	Not affected by ion wave;//description
    1;//number
    16.000000;//parameter0
    0.000000;//parameter1
    0.000000;//parameter2
    0.000000;//parameter3
  No AI;//description
    5;//number
    0.000000;//parameter0
    0.000000;//parameter1
    0.000000;//parameter2
    0.000000;//parameter3
  end_specialties;
L Asteroid;//name---------------------------------------
  8;//identifier
  5;//class
  creature7.png;//texture
  1;//draw layer
  -1;//corpse item number in items.dat, -1=nothing, -2=whole corpse vanishes when dead
  0;//corpse item amount
  0;//attack type, 0=shooting attack, 1=close combat
  -1;//particle to show on radar, -1=none
  0;//primary AI tactic from AI_tactic.dat
  0;//secondary AI tactic from AI_tactic.dat
  1;//footstep particle from particles.dat
  0;//die after how many seconds, 0=doesn't die
  -1;//eat item number from items.dat, -1=nothing
  2.800000;//creature size
  3.000000;//creature weight (affects pushing)
  0.010000;//maximum movement speed
  0.000000;//minimum movement speed
  0.000000;//leg animation speed
  0.050000;//turn speed
  0.050000;//inertia level (acceleration/deceleration)
  0;//hide when behind walls
  0;//weapon number
  0.000000;//weapon_x
  27.000000;//weapon_y
  2;//blood particle
  0;//bars visible when player hovers mouse on top
  1.7000000;//death animation speed
  1;//creature can move from area to another
  10.000000;//AI hear range
  10.000000;//AI see range
  1.000000;//AI see angle
  begin_footstep_sounds;//
  end_footstep_sounds;
  begin_hit_sounds;//
  none.wav;//    
  end_hit_sounds;
  begin_die_sounds;//
  explosion1.wav;
  explosion2.wav;
  end_die_sounds;
  begin_eat_block;//
  end_eat_block;
  begin_death_block;//
        0;//death type, 0=any death, 1=timed death, 2=killed by player   ---- shake and flames
    begin_conditions;   
    end_conditions;
    begin_effects;
    26;//effect number
    24.000000;//parameter1
    30.000000;//parameter2
    10.000000;//parameter3
    0.000000;//parameter4  
	36;//effect number           shake
    5.000000;//parameter1
    350.000000;//parameter2
    0.000000;//parameter3
    0.000000;//parameter4  
    end_effects;
 2;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;
    45;//condition
      -14.000000;//condition parameter0
     50.000000;//condition parameter1 
 8;//condition
    8.000000;//condition parameter0
     0.000000;//condition parameter1 
    end_conditions;
    begin_effects;
    3;//effect number
      136.000000;//parameter1
      1.000000;//parameter2
      30.000000;//parameter3
      0.000000;//parameter4    
    end_effects;
2;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;
    45;//condition
      -14.000000;//condition parameter0
     50.000000;//condition parameter1 
 8;//condition
      8.000000;//condition parameter0
     0.000000;//condition parameter1 
    end_conditions;
    begin_effects;
    3;//effect number
      136.000000;//parameter1
      1.000000;//parameter2
      30.000000;//parameter3
      0.000000;//parameter4    
    end_effects;
2;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;
    45;//condition
      -14.000000;//condition parameter0
     50.000000;//condition parameter1 
 8;//condition
      8.000000;//condition parameter0
     0.000000;//condition parameter1 
    end_conditions;
    begin_effects;
    3;//effect number
      136.000000;//parameter1
      1.000000;//parameter2
      30.000000;//parameter3
      0.000000;//parameter4    
    end_effects;
2;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;
    45;//condition
      -14.000000;//condition parameter0
     50.000000;//condition parameter1 
 8;//condition
      8.000000;//condition parameter0
     0.000000;//condition parameter1 
    end_conditions;
    begin_effects;
    3;//effect number
      136.000000;//parameter1
      1.000000;//parameter2
      30.000000;//parameter3
      0.000000;//parameter4    
    end_effects;
  end_death_block;
  begin_hit_block;//
  end_hit_block;
  begin_timed_block;//
  end_timed_block;
  begin_specialties;//
  health;//description
    0;//number
    4.000000;//parameter0
    0.000000;//parameter1
    550.000000;//parameter2
    550.000000;//parameter3
  fly;//description
    4;//number
    1.000000;//parameter0
    1.000000;//parameter1
    0.000000;//parameter2
    1.000000;//parameter3
anti-resistance to mining beam;//description
    1;//number
    14.000000;//parameter0
    20.000000;//parameter1
    0.000000;//parameter2
    0.000000;//parameter3
	Not affected by ion wave;//description
    1;//number
    16.000000;//parameter0
    0.000000;//parameter1
    0.000000;//parameter2
    0.000000;//parameter3
  No AI;//description
    5;//number
    0.000000;//parameter0
    0.000000;//parameter1
    0.000000;//parameter2
    0.000000;//parameter3
  end_specialties;
S Asteroid;//name---------------------------------------
  9;//identifier
  5;//class
  creature7.png;//texture
  1;//draw layer
  -1;//corpse item number in items.dat, -1=nothing, -2=whole corpse vanishes when dead
  0;//corpse item amount
  0;//attack type, 0=shooting attack, 1=close combat
  -1;//particle to show on radar, -1=none
  0;//primary AI tactic from AI_tactic.dat
  0;//secondary AI tactic from AI_tactic.dat
  1;//footstep particle from particles.dat
  0;//die after how many seconds, 0=doesn't die
  -1;//eat item number from items.dat, -1=nothing
  0.800000;//creature size
  0.500000;//creature weight (affects pushing)
  0.010000;//maximum movement speed
  0.000000;//minimum movement speed
  0.000000;//leg animation speed
  0.050000;//turn speed
  0.050000;//inertia level (acceleration/deceleration)
  0;//hide when behind walls
  0;//weapon number
  0.000000;//weapon_x
  27.000000;//weapon_y
  2;//blood particle
  0;//bars visible when player hovers mouse on top
  1.7000000;//death animation speed
  1;//creature can move from area to another
  10.000000;//AI hear range
  10.000000;//AI see range
  1.000000;//AI see angle
  begin_footstep_sounds;//
  end_footstep_sounds;
  begin_hit_sounds;//
  none.wav;//   
  end_hit_sounds;
  begin_die_sounds;//
  explosion1.wav;
  explosion2.wav;
  end_die_sounds;
  begin_eat_block;//
  end_eat_block;
  begin_death_block;//
    0;//death type, 0=any death, 1=timed death, 2=killed by player   ---- shake and flames
    begin_conditions;   
    end_conditions;
    begin_effects;
    26;//effect number
    24.000000;//parameter1
    30.000000;//parameter2
    10.000000;//parameter3
    0.000000;//parameter4  
	36;//effect number           shake
    2.8000000;//parameter1
    300.000000;//parameter2
    0.000000;//parameter3
    0.000000;//parameter4  
    end_effects;
2;//death type, 0=any death, 1=timed death, 2=killed by player
    begin_conditions;
    45;//condition
      -14.000000;//condition parameter0
     50.000000;//condition parameter1 
 8;//condition
     8.000000;//condition parameter0
     0.000000;//condition parameter1 
    end_conditions;
    begin_effects;
